timestamp,electrode,s1,s2,s3,s4,s5,intuitive
1745103175209,1,-5,-1089,-16385,-5,-1089,0
1745103175236,3,-14462,30406,-20697,-30853,30602,0
1745103175237,2,-10374,31127,-27193,14201,30624,0
1745103175238,0,-22404,-30006,-14649,18560,-29483,0
1745103175239,1,-5,-1089,-16385,-5,-1089,0
1745103175282,3,-14467,30408,32551,26755,29442,0
1745103175282,2,-22664,30575,32727,-14473,30879,0
1745103175283,0,10364,-28972,14552,30585,-31327,0
1745103175285,1,-8197,-1089,-16401,-5,-1089,0
1745103175327,3,26493,30417,9191,18298,29671,0
1745103175327,2,10105,30874,-28985,6009,30608,0
1745103175328,0,22390,-30558,-13816,-22655,-31564,0
1745103175330,1,-5,-1089,-16385,-5,-1089,0
1745103175372,3,18292,31655,-4490,18028,29376,0
1745103175372,2,-22661,-32521,-969,6272,-32512,0
1745103175373,0,22137,28095,22935,-2445,25142,0
1745103175374,1,-5,-1089,-16385,-5,-1089,0
1745103175417,3,-18844,26763,32182,13931,26210,0
1745103175418,2,6274,-31945,21720,26755,-31406,0
1745103175432,0,-6548,21845,-2635,26224,21785,0
1745103175433,1,-5,-1089,-16385,4094,-184,0
1745103175477,3,-22666,29023,16215,10105,29805,0
1745103175477,2,-18301,-32765,2424,1916,32453,0
1745103175478,0,14194,25942,19350,22389,28840,0
1745103175479,1,-4099,-2110,-11601,-5,-577,0
1745103175521,3,-6016,31506,-31609,-30596,-29841,0
1745103175522,2,26493,31424,-19673,18302,31726,0
1745103175523,0,-22673,32219,1111,18544,-27855,0
1745103175538,1,-12282,0,-32768,1280,-1003,0
1745103175567,3,-26496,-31703,5592,-30596,-30924,0
1745103175567,2,26486,30324,-18873,1916,30309,0
1745103175568,0,-26765,-31029,4664,18294,-30031,0
1745103175570,1,28679,87,1281,24517,-2305,0
1745103175612,3,10108,-30977,28936,22398,31403,0
1745103175612,2,26488,30598,24951,14198,31073,0
1745103175613,0,-10365,-32564,-11912,18308,31322,0
1745103175614,1,-12383,-3073,-13985,16381,-205,0
1745103175657,3,1917,30956,17544,6025,30937,0
1745103175657,2,-22664,30551,20871,22389,31386,0
1745103175658,0,10374,30999,14744,18575,-32059,0
1745103175660,1,0,1280,192,-1532,-40,0
1745103175702,3,2172,32535,-13849,-22663,31404,0
1745103175702,2,1912,30590,31063,-18568,31085,0
1745103175703,0,-30587,32401,-20377,2181,32300,0
1745103175704,1,0,0,23552,0,-21420,0
1745103175747,3,-2180,31452,13591,26482,-32022,0
1745103175747,2,30581,30560,-14985,26488,29768,0
1745103175748,0,6005,31936,15895,18547,-30951,0
1745103175749,1,0,256,18160,1792,-120,0
1745103175792,3,-22667,-32257,25991,26478,-31861,0
1745103175806,2,-26759,30622,15991,-26766,30333,0
1745103175807,0,-10385,32116,-31689,30577,-30550,0
1745103175808,1,0,2048,224,-24774,-2656,0
1745103175851,3,30318,32715,-30600,22396,32642,0
1745103175852,2,1912,30377,24775,1911,30867,0
1745103175853,0,-6539,31445,-32600,30587,-32198,0
1745103175854,1,0,1024,2848,2560,-221,0
1745103175897,3,-26761,32525,18152,10108,30034,0
1745103175897,2,10107,30318,32215,10106,30906,0
1745103175898,0,-10375,31755,12504,-14469,30862,0
1745103175913,1,0,768,6064,2304,-103,0
1745103175942,3,-6272,31162,-13881,-10109,30231,0
1745103175942,2,22395,30903,-24185,-26756,31674,0
1745103175943,0,-22654,31193,21399,-18308,29444,0
1745103175944,1,-5,-1089,-16385,-3,-209,0
1745103175987,3,-26500,32061,26023,18556,32605,0
1745103175987,2,-18564,30880,30039,18297,31411,0
1745103175988,0,6008,30682,12215,14200,30941,0
1745103175990,1,0,-13575,-161,4075,-4609,0
1745103176032,3,-22410,-31150,-14697,6273,-31595,0
1745103176032,2,-6279,31101,-22089,30586,31425,0
1745103176047,0,-6290,29545,6007,-22672,32103,0
1745103176048,1,0,1792,176,32599,-825,0
1745103176077,3,-14473,-31285,18664,-22662,31849,0
1745103176077,2,-10372,30886,-20793,30585,31909,0
1745103176078,0,-10387,31239,-16889,-27019,30190,0
1745103176092,1,-5,-1089,-7937,-28684,-4609,0
1745103176122,3,-2186,30724,872,-22663,30262,0
1745103176122,2,18298,31401,-21577,-22662,31404,0
1745103176123,0,-10643,27546,9447,-27023,28858,0
1745103176124,1,0,1536,128,-17657,-32,0
1745103176181,3,-27024,27277,1591,18295,28452,0
1745103176182,2,-14470,31645,-18169,-18566,31670,0
1745103176182,0,1649,26802,-9994,9844,27114,0
1745103176184,1,0,74,-28928,512,-5618,0
1745103176226,3,-2186,28025,-32442,5999,28514,0
1745103176227,2,-2180,31954,-19865,10108,31953,0
1745103176228,0,-2456,24964,-7387,-22939,27586,0
1745103176229,1,0,0,-30976,256,-9254,0
1745103176272,3,18022,29687,-7482,-22678,32378,0
1745103176272,2,10110,31937,-8633,18302,32489,0
1745103176273,0,-31134,28098,27814,5992,32351,0
1745103176275,1,-32759,1280,32,2560,-53,0
1745103176317,3,-30859,-31522,18152,26492,-29446,0
1745103176317,2,18303,32219,-12073,10108,32214,0
1745103176318,0,13928,31485,-29817,-6285,-32087,0
1745103176319,1,-16326,4096,240,-1011,-122,0
1745103176362,3,-22653,-28954,25945,22667,-29660,0
1745103176362,2,-26758,31388,-19097,-18565,31653,0
1745103176363,0,30585,32348,32296,30591,32660,0
1745103176377,1,-5,-1089,-16385,-5,-2092,0
1745103176407,3,30868,-32408,-12504,-10097,32603,0
1745103176407,2,-10374,31919,-13737,10108,31951,0
1745103176408,0,6284,31557,12776,-22389,32606,0
1745103176410,1,24563,-2561,-9281,-5,-1089,0
1745103176452,3,10380,-32371,12056,6281,-32093,0
1745103176452,2,-14469,32187,-11193,22396,31673,0
1745103176453,0,14482,-32023,18184,-5745,-30931,0
1745103176468,1,-5,-1089,-10241,-24586,-1062,0
1745103176496,3,26751,-32119,20007,-22409,-31683,0
1745103176497,2,-22660,31949,-18841,14203,31942,0
1745103176498,0,-9848,-28857,21160,6540,-28557,0
1745103176499,1,-16394,-1066,-16385,4092,-3116,0
1745103176542,3,-30863,-30987,-15817,14197,-30736,0
1745103176543,2,-14468,32216,-10265,-14467,32492,0
